точка | x-----y
1     | 444*504
2     | 350*475
3     | 278*519
4     | 190*538
5     | 112*510
6     | 124*444
7     | 144*389
8     | 215*352
9     | 177*280
10    | 140*228
11    | 202*200
12    | 254*244
13    | 298*206
14    | 330*155
15    | 374*111
16    | 420*40
17    | 505*80
18    | 460*152
19    | 487*226
20    | 457*302
21    | 385*347
22    | 376*412
23    | 453*426
24    | 527*468
25    | 622*500
26    | 715*522
27    | 810*470
28    | 885*423
29    | 950*385
30    | 960*315
31    | 904*288
32    | 840*324
33    | 783*360
34    | 722*353
35    | 725*296
36    | 796*256
37    | 807*189
38    | 752*179
39    | 679*214
40    | 624*255
41    | 580*302
42    | 523*285
43    | 507*229
44    | 543*174
45    | 590*140
46    | 615*81
47    | 647*29
48    | 698*56
49    | 672*138
50    | 752*81
51    | 820*137
52    | 866*106
53    | 884*170
